order_id,customer_id,order_date,status,region_code
1,490,2024-02-23,DELIVERED,WEST
2,89,2023-07-16,PLACED,EAST
3,129,2023-02-01,PLACED,EAST
4,9,2025-11-16,PLACED,NORTH
5,159,2026-03-19,CANCELLED,NORTH
6,-1,2024-05-05,RETURNED,EAST
7,385,2022-05-29,CANCELLED,WEST
8,291,2025-05-22,DELIVERED,WEST
9,116,2023-10-26,CANCELLED,WEST
10,196,2025-10-18,PLACED,NORTH
11,165,2025-01-08,RETURNED,WEST
12,28,2023-04-17,SHIPPED,WEST
13,420,2023-02-17,DELIVERED,NORTH
14,418,2025-05-24,DELIVERED,EAST
15,87,2024-06-12,DELIVERED,SOUTH
16,464,2023-01-19,SHIPPED,EAST
17,347,2023-11-10,CANCELLED,EAST
18,199,2025-04-30,SHIPPED,SOUTH
19,166,2024-05-28,PLACED,WEST
20,334,2022-02-02,PLACED,NORTH
21,403,2023-01-31,PLACED,NORTH
22,389,2023-01-08,SHIPPED,EAST
23,410,2022-02-25,RETURNED,WEST
24,84,2025-10-03,DELIVERED,WEST
25,99,2023-05-15,DELIVERED,WEST
26,479,2023-11-27,SHIPPED,EAST
27,125,2023-01-21,RETURNED,WEST
28,477,2026-06-14,PLACED,NORTH
29,71,2026-05-14,RETURNED,NORTH
30,205,2023-11-24,CANCELLED,NORTH
31,479,2025-12-29,RETURNED,EAST
32,272,2024-11-09,PLACED,EAST
33,20,2026-04-14,SHIPPED,NORTH
34,113,2023-02-27,PLACED,EAST
35,381,2024-09-24,CANCELLED,WEST
36,108,2025-12-12,PLACED,NORTH
37,97,2024-10-30,RETURNED,WEST
38,264,2023-09-26,RETURNED,NORTH
39,35,2025-01-06,SHIPPED,SOUTH
40,24,2022-04-01,CANCELLED,SOUTH
41,99,2022-03-13,PLACED,NORTH
42,293,2024-06-11,PLACED,NORTH
43,134,2023-12-04,CANCELLED,WEST
44,416,2024-09-17,DELIVERED,EAST
45,65,2026-06-13,RETURNED,SOUTH
46,140,2026-03-07,PLACED,NORTH
47,95,2026-04-11,SHIPPED,EAST
48,383,2026-04-03,PLACED,EAST
49,429,2024-11-17,PLACED,SOUTH
50,148,2024-10-04,RETURNED,WEST
51,424,2022-07-10,PLACED,NORTH
52,365,2022-09-16,DELIVERED,NORTH
53,405,2024-06-10,RETURNED,SOUTH
54,42,2023-07-10,RETURNED,SOUTH
55,278,2023-06-15,CANCELLED,EAST
56,422,2024-12-24,PLACED,EAST
57,168,2026-03-15,CANCELLED,SOUTH
58,247,2022-01-09,RETURNED,WEST
59,162,2024-11-01,PLACED,WEST
60,174,2023-09-03,CANCELLED,WEST
61,127,2024-07-19,RETURNED,NORTH
62,225,2022-05-01,SHIPPED,NORTH
63,96,2023-03-06,PLACED,EAST
64,350,2022-11-20,DELIVERED,WEST
65,-1,2023-08-24,CANCELLED,WEST
66,122,2022-12-07,RETURNED,WEST
67,268,2022-11-06,PLACED,SOUTH
68,492,2023-10-27,PLACED,NORTH
69,164,2023-11-18,DELIVERED,NORTH
70,255,2023-02-01,CANCELLED,EAST
71,270,2024-12-02,RETURNED,EAST
72,26,2025-12-24,RETURNED,WEST
73,425,2024-01-07,CANCELLED,WEST
74,154,2023-01-22,SHIPPED,NORTH
75,33,2025-09-19,SHIPPED,SOUTH
76,355,2023-10-19,CANCELLED,EAST
77,221,2022-05-17,PLACED,EAST
78,373,2023-11-04,SHIPPED,EAST
79,133,2024-03-20,PLACED,EAST
80,43,2025-01-12,PLACED,NORTH
81,474,2025-12-04,DELIVERED,SOUTH
82,118,2024-01-12,DELIVERED,NORTH
83,259,2022-05-15,RETURNED,WEST
84,160,2022-03-20,DELIVERED,NORTH
85,159,2025-03-02,RETURNED,SOUTH
86,149,2025-04-17,CANCELLED,WEST
87,474,2023-06-03,DELIVERED,EAST
88,76,2023-07-28,RETURNED,WEST
89,217,2023-05-30,DELIVERED,EAST
90,190,2025-08-16,DELIVERED,NORTH
91,230,2022-11-19,DELIVERED,EAST
92,198,2024-10-07,PLACED,WEST
93,180,2023-05-11,PLACED,SOUTH
94,225,2023-12-30,RETURNED,WEST
95,349,2022-08-16,DELIVERED,WEST
96,165,2023-06-27,PLACED,EAST
97,397,2026-07-07,RETURNED,EAST
98,448,2022-10-22,RETURNED,SOUTH
99,301,2022-01-03,PLACED,NORTH
100,67,2022-08-19,RETURNED,NORTH
101,246,2023-06-05,SHIPPED,SOUTH
102,312,2023-08-01,RETURNED,SOUTH
103,105,2024-07-21,PLACED,WEST
104,174,2024-08-26,DELIVERED,WEST
105,29,2026-06-11,CANCELLED,EAST
106,49,2023-06-27,CANCELLED,EAST
107,453,2024-05-30,PLACED,NORTH
108,73,2024-02-20,PLACED,EAST
109,140,2024-11-02,SHIPPED,SOUTH
110,381,2022-02-17,SHIPPED,SOUTH
111,279,2024-03-14,CANCELLED,SOUTH
112,369,2025-11-05,RETURNED,EAST
113,429,2023-01-27,SHIPPED,SOUTH
