item_id,order_id,product_id,quantity,unit_price,discount_percent
1,592,27,3,100.2,49
2,705,46,5,102.62,53
3,18,41,1,24.43,84
4,495,1,3,457.81,60
5,216,26,4,283.81,28
6,777,15,1,322.8,47
7,77,41,1,310.02,62
8,103,19,2,15.93,18
9,712,45,1,276.56,18
10,624,2,1,173.15,85
11,718,47,3,479.7,42
12,392,34,5,357.98,83
13,532,49,5,403.59,6
14,277,12,5,23.98,5
15,794,4,5,82.28,25
16,725,33,4,49.26,45
17,798,40,2,164.94,31
18,163,35,5,435.39,58
19,560,2,4,160.75,73
20,217,10,3,381.91,70
21,10799,23,4,406.41,84
22,446,46,1,124.18,52
23,245,45,1,219.46,6
24,40,37,3,98.64,85
25,397,34,4,481.77,42
26,373,22,5,448.84,65
27,604,4,4,348.34,96
28,421,35,2,121.38,46
29,645,2,4,154.54,33
30,572,42,1,499.05,71
31,205,28,3,110.66,90
32,32,18,1,265.4,61
33,227,4,5,88.24,67
34,534,17,1,182.79,55
35,642,18,2,379.0,32
36,165,13,4,277.67,46
37,718,35,3,241.37,18
38,429,25,2,47.8,47
39,59,41,5,299.38,30
40,99,12,4,120.82,76
41,113,15,4,266.95,97
42,700,45,3,185.47,18
43,683,28,4,312.95,67
44,663,20,3,120.7,54
45,68,14,3,239.05,64
46,139,50,4,291.98,70
47,266,26,3,359.09,96
48,780,23,5,308.14,20
49,340,10,2,247.73,44
50,39,8,5,335.95,57
51,245,40,1,348.26,52
52,302,48,1,315.47,94
53,74,36,3,191.09,49
54,771,36,5,313.76,92
55,392,38,1,143.92,95
56,26,21,5,351.08,55
57,169,38,1,90.67,19
58,283,12,4,403.45,0
59,379,25,3,416.95,13
60,257,47,1,418.14,45
61,120,50,1,276.91,64
62,199,11,4,466.9,66
63,730,20,1,348.69,70
64,315,5,2,249.77,74
65,369,13,5,164.03,54
66,713,32,3,52.29,13
67,514,8,1,495.97,93
68,488,8,3,122.94,67
69,562,41,4,401.88,1
70,145,6,5,79.02,16
71,475,18,2,133.88,38
72,651,40,4,404.17,79
73,740,4,3,363.59,62
74,625,29,1,407.01,99
75,526,12,2,16.92,79
76,397,7,2,446.4,62
77,476,7,2,494.77,79
78,433,10,5,420.08,51
79,51,24,5,451.44,0
80,520,24,5,320.39,70
81,340,13,2,464.68,85
82,578,6,3,68.82,54
83,716,27,5,413.62,62
84,118,28,1,363.99,7
85,276,4,4,131.4,34
86,665,41,1,63.44,65
87,254,9,1,398.92,77
88,287,48,1,359.73,87
89,204,43,5,156.31,89
90,383,37,5,19.29,0
91,679,50,4,270.88,82
92,330,38,2,204.76,98
93,326,2,2,446.06,90
94,772,33,2,92.7,78
95,673,40,3,492.04,24
96,664,33,1,294.7,97
97,122,37,5,428.72,25
98,616,1,2,43.21,13
99,800,2,2,497.48,73
100,381,30,5,61.84,37
101,405,29,1,243.58,9
102,515,48,2,52.58,42
103,710,26,3,335.1,9
104,752,26,2,352.57,12
105,278,36,1,202.13,4
106,203,35,3,267.4,70
107,233,46,1,330.46,99
108,410,46,4,79.34,100
109,270,14,2,496.26,75
110,797,38,4,91.28,31
111,534,34,5,72.81,83
112,607,48,5,288.18,90
113,216,36,1,306.87,64
114,79,38,1,161.83,42
115,358,48,1,241.89,42
116,595,16,3,363.39,49
117,676,38,3,70.34,32
118,225,27,3,21.29,50
119,94,23,5,15.32,73
120,116,32,4,432.55,39
121,493,16,3,206.44,43
122,10799,22,3,203.58,48
123,176,1,1,127.14,64
124,47,5,2,301.44,93
125,544,11,2,59.19,16
126,734,39,3,49.49,61
127,3,39,5,69.85,3
128,786,31,4,32.95,38
129,636,14,2,440.44,93
130,259,38,4,306.45,88
131,728,27,3,266.26,10
132,583,28,5,17.36,77
133,690,11,5,233.62,68
134,81,2,1,142.06,25
135,406,48,2,177.09,37
136,502,46,4,480.35,49
137,212,2,2,380.19,99
138,284,25,2,416.29,98
139,440,17,5,319.02,11
140,503,35,2,448.35,57
141,105,50,5,198.2,37
142,143,10,2,210.33,94
143,249,5,2,421.75,33
144,210,28,5,288.17,0
145,619,4,2,201.64,36
146,113,10,2,117.14,28
147,107,17,2,10.83,31
148,503,43,1,333.18,3
149,196,33,2,274.89,11
150,711,4,3,439.36,95
151,356,11,4,32.94,53
152,591,46,3,496.8,36
153,54,33,4,116.32,6
154,110,33,5,371.89,89
155,567,35,4,428.62,10
156,749,1,4,210.26,55
157,99,6,2,268.47,42
158,571,2,5,114.7,98
159,536,4,4,73.74,81
160,286,25,5,392.49,28
161,724,6,5,414.3,26
162,344,24,3,209.59,32
163,33,32,5,469.12,27
164,715,30,4,253.6,19
165,655,36,3,62.97,4
166,522,28,2,198.36,64
167,72,2,4,131.4,73
168,574,45,1,228.3,23
169,424,20,3,352.8,60
170,795,15,1,418.72,22
171,345,28,5,485.19,82
172,193,14,1,497.97,36
173,623,33,3,135.59,83
174,27,5,3,480.91,35
175,678,48,4,219.92,87
176,432,6,3,312.04,13
177,51,34,1,398.54,13
178,721,39,4,419.78,39
179,465,38,3,445.59,20
180,593,20,1,307.27,68
181,325,17,5,205.88,7
182,16,26,3,433.76,78
183,147,45,3,148.07,41
184,538,44,1,109.73,45
185,596,44,1,358.16,19
186,360,11,3,366.49,10
187,248,5,4,142.46,2
188,168,40,1,280.03,5
189,294,1,3,133.66,48
190,794,8,5,335.83,87
191,477,22,5,215.91,72
192,78,4,2,124.71,14
193,431,39,4,321.08,6
194,595,36,3,236.56,2
195,744,38,5,226.23,22
196,219,46,1,495.52,94
197,477,7,3,188.58,29
198,211,12,4,172.79,16
199,204,49,-1,468.68,83
200,560,9,3,183.9,44
201,130,3,4,465.13,34
202,111,13,3,19.84,19
203,515,1,-1,100.06,62
204,169,29,3,305.42,21
205,310,39,3,97.11,3
206,667,39,4,390.63,45
207,125,3,-3,161.95,54
208,89,21,4,269.14,43
209,261,18,4,482.67,42
210,410,17,3,479.15,11
211,662,8,1,415.05,10
212,207,31,1,60.45,60
213,667,47,2,78.36,48
214,73,50,3,217.69,47
215,502,10,3,220.47,43
216,496,46,3,315.22,64
217,710,40,3,95.7,76
218,457,32,1,236.34,85
219,459,42,1,333.55,55
220,730,33,3,419.53,62
221,138,21,3,320.81,51
222,34,13,1,152.72,2
223,413,19,5,325.55,82
224,586,2,3,392.99,47
225,111,14,5,59.23,19
226,271,40,2,368.96,54
227,320,16,2,456.96,79
228,136,47,2,395.06,30
229,180,30,1,175.66,100
230,412,14,2,240.33,18
231,526,37,2,471.4,35
232,109,24,1,171.59,0
233,621,4,2,85.86,12
234,59,12,4,229.16,67
235,198,24,4,175.65,65
236,540,33,5,352.44,20
237,518,2,2,454.22,62
238,325,18,5,415.96,1
239,596,9,1,212.88,3
240,146,46,5,175.04,15
241,697,44,1,411.51,50
242,79,16,2,389.63,78
243,156,42,5,372.34,52
244,600,12,5,110.34,14
245,775,13,2,371.94,100
246,216,12,4,195.94,77
247,288,20,5,211.03,36
248,600,10,3,482.39,65
249,70,18,3,192.01,81
250,178,33,2,224.94,74
251,203,38,1,163.18,18
252,439,19,3,245.55,66
253,715,10,4,83.34,69
254,145,32,4,212.68,20
255,569,4,2,299.18,89
256,481,49,2,243.39,98
257,29,9,1,297.86,67
258,417,27,2,427.84,44
259,428,41,1,384.16,43
260,62,9,2,352.48,62
261,420,15,4,328.01,27
262,379,37,4,320.2,9
263,166,6,2,204.69,0
264,271,43,4,392.66,62
