product_id,product_name,category,subcategory,cost_price
1,Audi Model 27,Electronics,Audio,408.82
2,Fictio Model 23,Books,Fiction,264.49
3,Phone Model 80,Electronics,Phones,11.41
4,Non-Fictio Model 17,Books,Non-Fiction,16.75
5,Phone Model 77,Electronics,Phones,114.87
6,Deco Model 97,Home,Decor,269.39
7,Phone Model 44,Electronics,Phones,85.0
8,Shirt Model 76,Clothing,Shirts,139.64
9,Fictio Model 80,Books,Fiction,455.1
10,Deco Model 76,Home,Decor,131.71
11,Laptop Model 53,Electronics,Laptops,116.97
12,Laptop Model 79,Electronics,Laptops,296.45
13,Audi Model 90,Electronics,Audio,367.29
14,Non-Fictio Model 24,Books,Non-Fiction,109.56
15,Furnitur Model 84,Home,Furniture,296.54
16,Shirt Model 65,Clothing,Shirts,36.5
17,Fictio Model 62,Books,Fiction,327.46
18,Deco Model 49,Home,Decor,222.07
19,Pant Model 25,Clothing,Pants,331.39
20,Audi Model 98,Electronics,Audio,51.71
21,Kitche Model 39,Home,Kitchen,474.97
22,Pant Model 11,Clothing,Pants,352.51
23,Deco Model 64,Home,Decor,319.84
24,Shirt Model 70,Clothing,Shirts,12.84
25,Audi Model 44,Electronics,Audio,479.62
26,Audi Model 25,Electronics,Audio,123.79
27,Phone Model 55,Electronics,Phones,155.81
28,Phone Model 20,Electronics,Phones,105.84
29,Kitche Model 39,Home,Kitchen,82.58
30,Non-Fictio Model 11,Books,Non-Fiction,231.42
31,Fictio Model 65,Books,Fiction,328.28
32,Deco Model 26,Home,Decor,278.25
33,Phone Model 69,Electronics,Phones,436.16
34,Kitche Model 43,Home,Kitchen,481.04
35,Pant Model 20,Clothing,Pants,12.76
36,Kitche Model 67,Home,Kitchen,350.65
37,Fictio Model 13,Books,Fiction,82.43
38,Kitche Model 71,Home,Kitchen,26.5
39,Shoe Model 85,Clothing,Shoes,431.85
40,Furnitur Model 78,Home,Furniture,497.34
41,Educationa Model 74,Books,Educational,69.31
42,Deco Model 74,Home,Decor,460.32
43,Pant Model 39,Clothing,Pants,13.46
44,Non-Fictio Model 17,Books,Non-Fiction,489.15
45,Shirt Model 47,Clothing,Shirts,24.54
46,Laptop Model 54,Electronics,Laptops,474.55
47,Fictio Model 22,Books,Fiction,386.3
48,Audi Model 81,Electronics,Audio,349.65
49,Audi Model 31,Electronics,Audio,237.74
50,Non-Fictio Model 20,Books,Non-Fiction,170.44
