item_id,order_id,product_id,quantity,unit_price,discount_percent
1,285,16,5,358.31,85
2,733,39,5,456.17,90
3,76,39,5,115.51,63
4,297,12,1,181.11,62
5,454,9,2,361.81,17
6,565,30,2,42.89,78
7,724,30,1,418.74,29
8,141,21,5,237.57,17
9,366,26,2,203.56,65
10,502,30,4,425.23,65
11,624,29,4,418.41,34
12,400,39,1,96.71,51
13,554,10,2,75.94,32
14,702,9,3,475.46,67
15,538,42,1,35.89,69
16,450,32,2,441.08,77
17,56,5,3,464.92,14
18,617,39,3,136.93,59
19,656,20,2,322.67,45
20,617,25,1,56.37,13
21,669,20,2,180.0,88
22,165,19,5,383.83,31
23,72,17,3,23.09,36
24,705,42,2,123.34,28
25,85,15,2,86.03,85
26,190,1,2,299.38,47
27,651,20,2,280.07,8
28,163,28,4,382.28,75
29,798,48,1,481.58,86
30,289,49,2,136.54,54
31,618,3,1,141.2,56
32,539,27,3,344.28,54
33,625,4,4,117.71,75
34,106,13,3,166.09,87
35,228,46,1,311.81,47
36,130,23,5,356.44,38
37,184,23,3,215.36,79
38,731,19,3,311.77,27
39,498,23,4,171.33,4
40,241,20,4,147.01,9
41,486,19,4,308.36,83
42,699,30,1,184.27,45
43,775,20,3,387.16,45
44,745,36,4,350.6,74
45,183,13,5,96.91,80
46,508,48,1,11.53,81
47,687,39,1,462.49,81
48,253,7,5,213.82,55
49,752,39,1,216.88,76
50,613,5,5,133.49,92
51,692,5,1,223.44,26
52,246,17,2,457.77,50
53,232,33,1,427.29,96
54,16,17,5,90.16,86
55,481,4,4,482.66,96
56,560,13,-1,40.56,83
57,138,30,2,462.8,30
58,277,45,5,130.88,47
59,38,25,2,84.07,8
60,45,11,4,257.87,2
61,684,10,3,235.56,70
62,180,24,1,242.23,90
63,770,20,2,124.28,95
64,792,24,2,260.65,19
65,756,19,2,161.68,17
66,259,42,3,314.02,54
67,212,48,2,338.86,63
68,468,12,2,485.89,74
69,463,3,2,458.72,16
70,736,6,1,415.15,76
71,204,35,4,421.72,23
72,544,35,5,219.46,43
73,588,45,3,48.83,14
74,406,29,4,180.17,11
75,165,46,4,274.07,9
76,749,27,2,420.19,85
77,715,45,5,190.53,57
78,452,15,1,122.61,61
79,652,3,5,137.96,43
80,693,21,3,380.28,100
81,311,11,-5,488.77,44
82,156,7,5,255.87,92
83,665,2,2,162.6,18
84,414,9,1,235.83,19
85,279,16,2,85.35,21
86,74,37,2,392.14,62
