order_id,customer_id,order_date,status,region_code
1,84,2023-03-05 00:00:00,CANCELLED,EAST
2,340,2022-11-09 00:00:00,RETURNED,EAST
3,321,2022-07-28 00:00:00,PLACED,EAST
4,254,2022-09-09 00:00:00,CANCELLED,NORTH
5,240,2022-07-28 00:00:00,CANCELLED,WEST
6,391,2024-12-13 00:00:00,PLACED,WEST
7,179,2026-06-02 00:00:00,SHIPPED,WEST
8,270,2022-11-11 00:00:00,SHIPPED,EAST
9,353,2023-11-14 00:00:00,CANCELLED,WEST
10,179,2024-05-14 00:00:00,RETURNED,EAST
11,218,2022-12-15 00:00:00,PLACED,WEST
12,489,2024-05-02 00:00:00,RETURNED,SOUTH
13,79,2024-04-29 00:00:00,PLACED,EAST
14,423,2022-09-05 00:00:00,DELIVERED,NORTH
15,76,2024-09-28 00:00:00,PLACED,SOUTH
16,179,2023-11-01 00:00:00,CANCELLED,WEST
17,273,2022-09-09 00:00:00,PLACED,EAST
18,99,2022-12-09 00:00:00,RETURNED,NORTH
19,244,2023-07-06 00:00:00,PLACED,SOUTH
20,252,2025-06-26 00:00:00,CANCELLED,SOUTH
21,362,2025-01-31 00:00:00,DELIVERED,NORTH
22,192,2024-04-22 00:00:00,DELIVERED,WEST
23,107,13-02-2025 00:00:00,PLACED,WEST
24,360,2025-08-25 00:00:00,CANCELLED,WEST
25,20,2022-05-22 00:00:00,RETURNED,NORTH
26,497,2023-05-17 00:00:00,PLACED,WEST
27,86,2025-11-18 00:00:00,RETURNED,SOUTH
28,151,2023-12-31 00:00:00,SHIPPED,EAST
29,466,2026-04-24 00:00:00,CANCELLED,WEST
30,163,2023-02-14 00:00:00,DELIVERED,SOUTH
31,291,2024-10-04 00:00:00,RETURNED,EAST
32,368,2022-08-05 00:00:00,PLACED,SOUTH
33,83,2023-12-14 00:00:00,CANCELLED,SOUTH
34,385,26-02-2026 00:00:00,DELIVERED,EAST
35,58,2025-10-16 00:00:00,RETURNED,WEST
36,338,2026-03-20 00:00:00,CANCELLED,EAST
37,192,2024-04-27 00:00:00,DELIVERED,NORTH
38,282,2024-10-02 00:00:00,SHIPPED,WEST
39,217,2023-12-20 00:00:00,PLACED,SOUTH
40,204,2024-09-11 00:00:00,PLACED,WEST
41,402,2023-05-13 00:00:00,PLACED,SOUTH
42,468,2025-12-28 00:00:00,PLACED,SOUTH
43,222,2025-01-29 00:00:00,PLACED,SOUTH
44,159,2022-06-18 00:00:00,CANCELLED,NORTH
45,147,2023-12-27 00:00:00,SHIPPED,WEST
46,307,2023-05-22 00:00:00,CANCELLED,WEST
47,266,15-09-2024 00:00:00,RETURNED,SOUTH
48,77,2025-01-03 00:00:00,CANCELLED,NORTH
49,111,2022-02-20 00:00:00,CANCELLED,WEST
50,16,2025-10-23 00:00:00,DELIVERED,EAST
51,10,2023-03-17 00:00:00,RETURNED,SOUTH
52,274,16-02-2023 00:00:00,DELIVERED,NORTH
53,290,2022-06-09 00:00:00,SHIPPED,NORTH
54,241,2022-09-22 00:00:00,RETURNED,SOUTH
55,343,2026-05-15 00:00:00,CANCELLED,NORTH
56,65,2023-08-20 00:00:00,CANCELLED,EAST
57,114,2024-12-08 00:00:00,SHIPPED,WEST
58,29,2025-10-07 00:00:00,CANCELLED,EAST
59,354,2024-03-28 00:00:00,SHIPPED,NORTH
60,459,2022-05-03 00:00:00,RETURNED,EAST
61,446,2025-07-10 00:00:00,RETURNED,WEST
62,350,2022-06-04 00:00:00,DELIVERED,WEST
63,484,2025-01-29 00:00:00,DELIVERED,WEST
64,92,2022-05-29 00:00:00,DELIVERED,NORTH
65,121,2022-11-16 00:00:00,CANCELLED,WEST
66,238,2025-10-22 00:00:00,DELIVERED,EAST
67,255,2025-06-13 00:00:00,SHIPPED,EAST
68,319,2023-05-29 00:00:00,SHIPPED,SOUTH
69,99,2026-01-11 00:00:00,DELIVERED,NORTH
70,272,2022-10-16 00:00:00,SHIPPED,EAST
71,20,28-02-2022 00:00:00,PLACED,SOUTH
72,125,2023-04-22 00:00:00,PLACED,WEST
73,352,2024-09-07 00:00:00,RETURNED,EAST
74,415,2024-10-16 00:00:00,SHIPPED,SOUTH
75,186,2023-01-10 00:00:00,DELIVERED,SOUTH
76,158,2026-06-14 00:00:00,SHIPPED,NORTH
77,382,2026-03-15 00:00:00,PLACED,NORTH
78,400,27-04-2022 00:00:00,RETURNED,EAST
79,138,2022-05-12 00:00:00,DELIVERED,NORTH
80,,2025-09-15 00:00:00,SHIPPED,WEST
81,391,2022-05-31 00:00:00,DELIVERED,WEST
82,68,2023-09-11 00:00:00,DELIVERED,SOUTH
83,41,2022-11-20 00:00:00,SHIPPED,WEST
84,164,2025-08-30 00:00:00,PLACED,SOUTH
85,442,2022-08-09 00:00:00,DELIVERED,SOUTH
86,284,2025-12-14 00:00:00,PLACED,NORTH
87,7,2025-06-17 00:00:00,DELIVERED,WEST
88,253,2022-01-16 00:00:00,RETURNED,EAST
89,98,2026-04-05 00:00:00,CANCELLED,EAST
90,401,2026-02-23 00:00:00,RETURNED,SOUTH
91,176,2024-10-15 00:00:00,CANCELLED,WEST
92,64,2026-04-10 00:00:00,RETURNED,WEST
93,128,2025-07-16 00:00:00,SHIPPED,EAST
94,410,2025-03-31 00:00:00,SHIPPED,WEST
95,291,2022-11-22 00:00:00,RETURNED,EAST
96,466,14-04-2024 00:00:00,SHIPPED,SOUTH
97,321,2024-12-26 00:00:00,RETURNED,SOUTH
98,301,2026-01-18 00:00:00,DELIVERED,WEST
99,294,2023-10-31 00:00:00,PLACED,EAST
100,347,19-11-2023 00:00:00,SHIPPED,NORTH
101,393,2025-02-01 00:00:00,CANCELLED,EAST
